ident,name,lat,long,elev,cou
02MO,Troy Airpark,39.04999923706055,-91.03350067138672,650,US
02MS,Watts Field,34.100101470947266,-90.8468017578125,153,US
02MT,Barrett Field,47.2374,-111.74304,3350,US
02MU,Timber Line Airpark,36.655612,-93.802387,1550,US
02NC,Race City Heliport,35.540477,-80.598047,809,US
02NE,Benes Service Airport,41.074501037597656,-96.90450286865234,1550,US
02NH,Iroquois Landing Seaplane Base,44.657100677490234,-71.21910095214844,1180,US
02NJ,Penske Heliport,40.55730056762695,-74.46710205078125,78,US
02NV,Paiute Meadows Airport,41.299551,-118.926709,4443,US
02NY,Hansen Heliport,43.132598876953125,-75.65550231933594,435,US
02OH,Zimmerman Airport,41.376399993896484,-83.08329772949219,614,US
02OI,Murtha Airport,41.801998138427734,-80.56539916992188,950,US
02OK,Canon Heliport,35.458401,-97.525297,1191,US
02OL,War Veterans Colony Heliport,34.811412,-95.307727,807,US
02OR,Rowena Dell Airport,45.68149948120117,-121.31600189208984,705,US
02PA,Lag Iii Heliport,40.43830108642578,-79.7699966430664,1070,US
02PN,Peco Berwyn Heliport,40.06959915161133,-75.4552001953125,390,US
02PR,Cuylers Airport,18.464924,-66.363773,15,PR
02PS,Hughes Ultralightport,41.90060043334961,-77.23030090332031,1700,US
02SC,Harpers Airport,32.75849914550781,-81.22480010986328,111,US
02TA,Matagorda Shore Facility Heliport,28.722177,-95.875813,5,US
02TE,Baylor Medical Center Heliport,32.39540100097656,-96.86419677734375,560,US
02TN,Ellis Field,35.780601501464844,-86.58419799804688,840,US
02TS,FWOMC Heliport,32.747601,-97.370003,684,US
02TX,The Palms At Kitty Hawk Airport,33.370403,-101.922882,3235,US
02UT,Lucin Airport,41.36629867553711,-113.84300231933594,4412,US
02VA,The Greenhouse Airport,38.435699462890625,-77.8572006225586,320,US
02VG,Northstar Aviation Heliport,36.63880157470703,-82.11669921875,1850,US
02WA,Cawleys South Prairie Airport,47.15230178833008,-122.09400177001953,690,US
02WI,Beer Airport,45.031898498535156,-92.65579986572266,920,US
02WN,Fowler Field,48.74580001831055,-119.31900024414062,2150,US
02XA,JLS Farms Airport,33.591319,-95.882864,675,US
02XS,Seidel Ranch Airport,30.147699,-97.662804,510,US
03AA,Trapper T Heliport,61.556055,-149.284527,159,US
03AK,Joe Clouds Seaplane Base,60.72722244262695,-151.13278198242188,150,US
03AL,Highland Medical Center Heliport,34.662604,-86.046774,628,US
03AR,Hscmh Heliport,34.357601165771484,-92.78849792480469,350,US
03AZ,Thompson International Aviation Airport,31.430971,-110.088087,4275,US
03CA,Grossmont Hospital Heliport,32.779484,-117.006952,634,US
03CO,Kugel-Strong Airport,40.2125015259,-104.744003296,4950,US
03FA,Lake Persimmon Airstrip,27.353099822998047,-81.40809631347656,70,US
03FD,Tharpe Airport,30.8288,-85.731003,115,US
03FL,Ranger Heliport,26.683716,-80.186561,20,US
03GA,HIA Airport,32.5623056,-81.8576944,238,US
03IA,East Field,41.581902,-92.461304,954,US
03ID,Flying Y Ranch Airport,44.7943000793457,-116.53299713134766,3180,US
03II,Davis Field Ultralightport,37.9620018005,-87.7789001465,465,US
03IL,Wix Airport,41.40230178833008,-87.81670379638672,750,US
03IN,Heinzman Airport,40.18000030517578,-86.01249694824219,850,US
03IS,OSF St Anthony's Health Center Heliport,38.904999,-90.173401,580,US
03KS,Valley Grain Heliport,39.86470031738281,-95.26409912109375,1160,US
03KY,Flying H Farms Airport,37.79169845581055,-87.54139709472656,385,US
03LA,Damien Heliport,30.199600219726562,-91.12789916992188,25,US
03LS,Fmc Nr 1 Heliport,32.159000396728516,-91.70800018310547,79,US
03MA,Hadley Airport,42.393431,-72.551553,150,US
03MD,Upper Chesapeake Medical Center Heliport,39.518427,-76.346022,302,US
03ME,Maple Ridge Airport,44.08420181274414,-70.6272964477539,556,US
03MI,Harold Miller Heliport,43.550899505615234,-83.86219787597656,585,US
03MN,Nauerth Land Ranch Airport,43.62519836425781,-95.22470092773438,1435,US
03MO,Cahoochie Airport,37.884499,-93.131599,1010,US
03MS,Vicksburg Medical Center Heliport,32.31880187988281,-90.8832015991211,110,US
03MT,Cascade Field,47.267327,-111.71748,3580,US
03MU,Mc Donnell Airport,38.4925003052,-94.41249847410002,874,US
03NC,Pilots Ridge Airport,34.10430145263672,-77.9041976928711,35,US
03ND,Olafson Brothers Airport,48.626399993896484,-97.8290023803711,1045,US
03NE,Hyde Ranch Airport,41.5463981628418,-99.3311996459961,2430,US
03NH,Lorden Heliport,42.815399169921875,-71.12439727783203,400,US
03NJ,AT&T Heliport,40.668713,-74.410152,360,US
03NM,Miner's Colfax Medical Center Heliport,36.862377,-104.442853,6600,US
03NR,Johnston Medical Center Heliport,35.63027,-78.50392,320,US
03NV,Llama Ranch Airport,40.58440017700195,-115.2979965209961,6120,US
03NY,Talmage Field,40.95840072631836,-72.716796875,95,US
03OH,Gibbs Field,41.416933,-83.018339,580,US
03OI,Cleveland Clinic Marymount Hospital Heliport,41.420312,-81.599552,890,US
03OK,Sahoma Lake Airport,36.041259,-96.161517,890,US
03OL,Bluebird Airport,35.012334,-97.702735,1232,US
03OR,Powwatka Ridge Airport,45.85540008544922,-117.48400115966797,3340,US
03PA,Collegeville Heliport,40.162899017333984,-75.4656982421875,197,US
03PN,M.P. Metals Heliport,41.066861,-76.180806,479,US
03PR,Sun View Field Airport,39.065947,-94.921703,980,US
03PS,Ziggy's Field,40.849998,-77.905602,1050,US
03SC,Seacoast Medical Center Heliport,33.8650016784668,-78.66190338134766,73,US
03TA,Gay Hill Farm Airport,30.262699,-96.500198,505,US
03TE,Barronena Ranch Airport,27.490812,-98.669615,600,US
03TN,Eagles Landing Heliport,35.92250061035156,-83.57939910888672,1000,US
03TS,Shannon Medical Center Heliport,31.4658,-100.43397,1825,US
03TT,Brazos Polo Airport,29.632117,-95.932481,117,US
03TX,M D K Field Heliport,29.580929,-95.30508,50,US
03UT,AZ Minerals Corporation Airport,37.114384,-109.99014,5315,US
03VA,Whipoorwill Springs Airport,38.66460037231445,-77.57969665527344,250,US
03WA,Spangle Field,47.408199310302734,-117.37200164794922,2440,US
03WI,Zink Airport,44.028873,-88.883945,880,US
03WN,Aerostone Ranch Airport,45.875,-120.66999816894531,2320,US
03WT,Lopez Medical Clinic Heliport,48.524894,-122.912394,38,US
03XA,Del Sol Medical Center Heliport,31.7574,-106.346895,3881,US
03XS,Creekside Airport,31.318099975585938,-100.75399780273438,2100,US
04AA,Flying W Ranch Airport,60.535833,-150.811387,250,US
04AL,Anniston AHP (Anniston Army Depot),33.62639999,-85.96720123,686,US
04AR,Saline Memorial Hospital Heliport,34.574319,-92.586047,430,US
04AZ,(Old) Chinle Airport,36.147197,-109.560771,5515,US
04CA,Gray Butte Field,34.5639,-117.675003,3020,US
04CL,Hunt's Sky Ranch Airport,33.08169937133789,-116.44100189208984,2310,US
04CT,Shingle Mill Heliport,41.75510025024414,-73.05239868164062,880,US
04FA,Richards Field,25.558700561523438,-80.51509857177734,9,US
04FD,Tampa General Hospital Brandon Healthplex Heliport,27.929372,-82.336981,37,US
04FL,Cross Creek Farms Airport,29.240353,-81.222525,30,US
04IA,Middlekoop Airport,41.08829879760742,-92.05460357666016,801,US
04ID,Lanham Field,43.87770080566406,-116.53700256347656,2343,US
04II,Turkey Run Airport,41.13059997558594,-84.99410247802734,765,US
04IL,Schertz Aerial Service - Hudson Airport,40.6375007629,-89.0070037842,755,US
04IN,Lake Gage Seaplane Base,41.701389,-85.113056,954,US
04IS,Van Gorder Airport,40.1786003112793,-88.56900024414062,728,US
04KS,Robinson Industries Heliport,38.97890090942383,-95.2197036743164,835,US
04KY,Natchez Trace Farm Airport,37.135101318359375,-85.78939819335938,710,US
04LA,Saint James Parish Hospital Heliport,30.051001,-90.703848,10,US
04LL,Brunner Airport,42.13610076904297,-88.28759765625,750,US
04LS,La National Guard Heliport,30.44610023498535,-91.10530090332031,52,US
04MA,Goddard Field,42.810908,-71.140959,200,US
04MD,Chesapeake City Heliport,39.51810073852539,-75.82140350341797,40,US
04ME,Beech Hill Airport,44.66669845581055,-69.8938980102539,625,US
04MI,Rapids Airway Airport,42.53450012207031,-84.62830352783203,880,US
04MN,Helblad Airport,47.985801696777344,-94.68689727783203,1195,US
04MO,Airpark Private Airport,39.30120086669922,-91.45149993896484,767,US
04MS,Nick's Flying Service Inc Airport,32.939601898199996,-90.8373031616,100,US
04MT,Pluhar Airport,47.13749777779999,-106.488095,2715,US
04NC,Western Wake Medical Center Heliport,35.739200592,-78.7822036743,445,US
04NE,Mc Connell Field Airport,41.159999847399995,-101.299003601,3035,US
04NJ,Emmanuel Airport,39.596801757799994,-75.2334976196,155,US
04NR,McGee 04 Heliport,34.775671,-77.392244,40,US
04NV,Kingston Ranch Airport,35.7555007935,-115.665000916,2620,US
04NY,Klaverack Airport,42.262298584,-73.6961975098,250,US
04OG,Teufel Heliport,45.530833,-123.085556,185,US
04OH,Bossow Airport,41.2477,-81.100701,1080,US
04OK,Stillwater Medical Center Heliport,36.1152992249,-97.079498291,984,US
04OR,Collins Landing Strip,44.7499008179,-120.200996399,1500,US
04PA,S & C Distribution Center Heliport,39.87929916379999,-75.2287979126,50,US
04PN,Strawbridge & Clothier Exton Heliport,40.0306619,-75.63021,320,US
04SC,Emergency Helipad,34.842188,-82.60714,994,US
04SD,Cheyenne River Health Center Heliport,44.993124,-101.243011,2437,US
04TA,Capitol National Bank Building Heliport,30.270262,-97.745275,540,US
04TE,Veterans Affairs Medical Center Heliport,29.699687,-95.39069,49,US
04TN,Hensley Airpark,36.183300018299995,-82.67890167239999,1430,US
04TS,Hummingbird Heliport,30.553284,-97.605358,690,US
04TT,4D Ranch Airport,29.713072,-99.545642,1550,US
04TX,Pocock Airport,31.732779,-97.369326,565,US
04UT,Navajo Mountain Airport,37.006689,-110.794701,6160,US
04VA,Russell County Medical Center Heliport,36.898,-82.078,2004,US
04VG,Manquin Flight Park Ultralightport,37.7144012451,-77.21179962160001,50,US
04VT,Lightning Bolt Field Airport,44.4011001587,-72.26360321039999,2156,US
04WA,Ox Meadows Airport,47.5817985535,-117.43699646,2345,US
04WI,Dutch Gap Airstrip,42.523399353,-88.0167007446,760,US
04WN,Stillwater Creek Airport,46.95835,-119.63864,1510,US
04WV,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,39.6536111111,-79.9561111111,1137,US
04XA,Pecan Field,33.283933,-98.402861,1130,US
04XS,Schmidts Heliport,32.5821,-97.142502,625,US
05AK,Wasilla Creek Airpark,61.66830063,-149.1880035,620,US
05AL,Allen Stagefield Army Heliport,31.2311992645,-85.64969635010002,365,US
05AR,Ozark Skies Airpark,36.000633,-93.57025,1900,US
05AZ,Yuma Regional Medical Center Heliport,32.683452,-114.634346,200,US
05CA,Lost Hills Sheriff's Station Heliport,34.137798309299995,-118.713996887,888,US
05CL,Pope Valley Airport,38.6106987,-122.39099884,618,US
05CO,Rancho de Aereo Airport,40.214984,-104.984423,4978,US
05CT,O And G Heliport,41.7737007141,-73.1162033081,600,US
05FA,Melanie's Airport,30.918899536132812,-86.21829986572266,295,US
05FD,Aventura Heliport,25.960899353027344,-80.13919830322266,6,US
05FL,Charlton Strip,26.52018,-81.41031,36,US
05GA,Raju Airport,32.0713996887207,-84.71440124511719,625,US
05IA,Spotts Field,43.13750076293945,-93.06829833984375,1155,US
05ID,Running Creek Ranch Airport,45.914101,-114.835999,2969,US
05II,Reichhart Airport,41.02870178222656,-84.99720001220703,795,US
05IL,Classic Landings Airport,41.156700134277344,-88.0167007446289,635,US
05IN,Cooper Airport,39.641998291015625,-86.50420379638672,860,US
05IS,Hardy Airport,39.72589874267578,-89.26399993896484,605,US
05KS,Darbro Field,37.26620101928711,-95.95919799804688,945,US
05KT,High Point Farm Airport,38.187091,-84.93011,880,US
05KY,Cartersville Airport,37.53575,-84.407303,1070,US
05LA,Greg's Flying Service Airport,32.26530075073242,-91.69779968261719,76,US
05LL,Midwest Heliport,41.749228,-87.935783,710,US
05LS,Grass Roots Airport,31.252148,-92.47569,83,US
05MA,Bentley Heliport,42.691200256347656,-70.91230010986328,80,US
05MD,Breezecroft Airport,39.244232,-76.198661,20,US
05ME,Drisko Airport,44.65700149536133,-67.55919647216797,70,US
05MI,Oakwood Heritage Hospital Heliport,42.236433,-83.276421,621,US
05MN,Northern Pines Medical Center Heliport,47.5175001,-92.2302778,1446,US
05MO,Portageville Community Heliport,36.4297981262207,-89.68009948730469,272,US
05MS,VA Medical Center Jackson Heliport,32.32973,-90.16273,359,US
05MT,Jones Landing Airport,45.815368,-111.152163,4364,US
05NC,Brunswick Community Hospital Heliport,34.008099,-78.2911,63,US
05NE,Mc Kay Airport,41.7221984863,-98.3089981079,2010,US
05NH,Stumpfield Heliport,42.92390060424805,-70.95140075683594,200,US
05NJ,Paulus Hook Pier Heliport,40.7140007019043,-74.03150177001953,7,US
05NV,Baker Ranches Airport,39.0311,-114.088219,5180,US
05NY,Oswego County At Pulaski Heliport,43.551998138427734,-76.09020233154297,445,US
05OG,Drill Field Pad Heliport,44.059531,-123.118951,415,US
05OI,Dorlon Airpark,41.28839874267578,-81.96260070800781,830,US
05OK,Hawk Haven Airport,35.8534,-97.567497,1075,US
05OR,Peacock Ranch Airport,45.44150161743164,-117.35099792480469,3500,US
05PA,PECO Mob. Heliport,39.9548,-75.178201,110,US
05PN,State Police Area Iii Heliport,40.30009841918945,-76.85800170898438,485,US
05PS,Mills Brothers Airport,40.142799377441406,-77.86190032958984,1210,US
05TA,Brandes Air Field,29.809099197387695,-96.26509857177734,276,US
05TE,Hilde-Griff Field,30.72209930419922,-97.79139709472656,950,US
05TN,Thurmond Glenn Field,35.556998,-89.552903,285,US
05TS,Dew Drop Airport,33.12929916381836,-97.35859680175781,750,US
05TX,Circle A Ranch Airport,32.128974,-97.404582,608,US
05UT,Oljato Airport,37.033626,-110.315778,4838,US
05VA,Providence Airport,37.22420120239258,-78.4186019897461,445,US
05VT,Port of Highgate Springs Heliport,45.013301849365234,-73.08670043945312,68,US
05WA,Sacred Heart Medical Center Helistop,47.64820098876953,-117.41400146484375,2220,US
05WI,Ames Private Airport,42.651100158691406,-88.74590301513672,958,US
05WN,Flat Creek Field,48.702222,-118.0475,1570,US
05XA,Moore County Hospital District Heliport,35.863631,-101.970944,3664,US
05XS,Johnson Memorial Airport,33.07929992675781,-91.54319763183594,105,US
06AA,Twisted Sisters Airport,60.540256,-150.813827,260,US
06AK,June Lake Airpark,61.627619,-149.575331,425,US
06AL,Brown Stagefield Army Heliport,31.388399124145508,-85.97239685058594,415,US
06AR,Bondair Airport,35.544498443603516,-92.18489837646484,499,US
06AZ,Mercy Gilbert Medical Center Heliport,33.287759,-111.751454,1280,US
06CA,Sce Solar I Heliport,34.87080001831055,-116.83399963378906,1942,US
06CL,Abc7-Tv Heliport,35.15719985961914,-118.28900146484375,520,US
06CO,Jecan Airport,37.38750076293945,-103.69100189208984,5100,US
06FA,William P Gwinn Airport,26.90839958190918,-80.32890319824219,28,US
06FD,Grass Roots Airpark,28.641700744628906,-81.88500213623047,105,US
06FL,Morton Plant Hospital Heliport,27.953527,-82.806222,3,US
06GA,Smith Heliport,33.75339889526367,-84.16210174560547,1065,US
06IA,Rich Field,41.841400146484375,-91.83429718017578,880,US
06ID,Larkin Airport,43.46269989013672,-116.35900115966797,2750,US
06IL,Humm Airport,41.5994987487793,-88.86990356445312,708,US
06IN,Ellis Fly-In Airport,39.282799,-87.303596,575,US
06IS,Sinele Strip,40.5463981628418,-91.27429962158203,695,US
06KS,Riverside Hospital Airlift Heliport,37.69580078125,-97.37249755859375,1332,US
06KY,Falcon Heliport,37.525902,-83.344901,751,US
06LL,Hammersmith Heliport,41.8736,-88.496901,812,US
06LS,Tembec Heliport,30.70789909362793,-91.32019805908203,85,US
06MA,The Barn Heliport,42.69060134887695,-71.60900115966797,210,US
06MD,Bayview Heliport,39.29140090942383,-76.54630279541016,132,US
06ME,Barker Heliport,44.415247,-70.844275,649,US
06MI,W A Foote Memorial Hospital Heliport,42.2510986328125,-84.39140319824219,978,US
06MN,Pike Field Airport,47.652185,-92.416692,1463,US
06MO,Noahs Ark Airport,39.23059844970703,-94.80439758300781,755,US
06MT,Torgerson Airport,48.55830001831055,-112.10900115966797,3541,US
06NC,Tailwinds Airport,34.82749938964844,-78.9302978515625,163,US
06ND,Fitterer's Strip,46.7489013671875,-101.66899871826172,2180,US
06NE,St Marys Hospital Heliport,40.68000030517578,-95.86170196533203,1015,US
06NH,Cole Farm Airport,42.92839813232422,-70.97309875488281,160,US
06NJ,Chemical Bank - New Jersey Na Heliport,39.950102,-74.999603,25,US
06NV,Silver Creek Airport,39.098333,-114.150277,5556,US
06NY,Murphy Field,42.836797,-76.437614,1100,US
06O1,Saint Elizabeth Medical Center Heliport,41.11479949951172,-80.65699768066406,1020,US
06OH,Hal Joy Airfield,41.50979995727539,-80.59120178222656,1160,US
06OI,Green Acres Airport,39.734798431396484,-84.3822021484375,915,US
06OK,Albert Lodge Heliport,36.54169845581055,-94.83360290527344,900,US
06OR,Hayden Mountain Airport,45.4650993347168,-123.08000183105469,850,US
06PA,Freefall Oz Airport,41.995792,-78.288152,1440,US
